Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,
Table CT_0210_2011 - Migration by age - 2001 Data Zones,,,,,,,,,,,
All people,,,,,,,,,,,
,,,,,,,,,,,
,,All people,Aged under 1,Lived at same address one year ago,Lived elsewhere one year ago; within the same Data Zone,Inflow,,,,Outflow (1),
,50 to 64,159,0,149,2,6,1,1,0,6,5
,65 to 74,94,0,88,2,1,2,0,1,4,0
,75 and over,109,0,107,2,0,0,0,0,8,1
S01001358,All people,915,12,820,10,38,19,14,2,31,17
,0 to 15,151,12,119,4,9,5,2,0,6,2
,16 to 19,40,0,32,0,5,2,1,0,3,4
,20 to 24,46,0,39,2,2,3,0,0,9,3
,25 to 34,89,0,66,3,12,2,4,2,2,2
,35 to 49,210,0,189,1,9,7,4,0,5,5
,50 to 64,196,0,194,0,1,0,1,0,1,0
,65 to 74,113,0,111,0,0,0,2,0,4,1
,75 and over,70,0,70,0,0,0,0,0,1,0
S01001359,All people,741,7,694,1,32,5,1,1,15,21
,0 to 15,121,7,108,0,6,0,0,0,0,5
,16 to 19,42,0,42,0,0,0,0,0,1,7
,20 to 24,49,0,41,1,6,0,1,0,5,4
,25 to 34,53,0,45,0,6,1,0,1,2,3
,35 to 49,156,0,154,0,2,0,0,0,2,2
,50 to 64,175,0,172,0,2,1,0,0,3,0
,65 to 74,62,0,61,0,1,0,0,0,1,0
,75 and over,83,0,71,0,9,3,0,0,1,0
S01001360,All people,"1,168",23,"1,031",3,71,31,9,0,44,30
,0 to 15,242,23,191,1,20,3,4,0,9,6
,16 to 19,41,0,37,0,3,1,0,0,0,5
,20 to 24,55,0,37,2,12,4,0,0,7,5
,25 to 34,133,0,109,0,16,8,0,0,13,3
,35 to 49,239,0,220,0,10,4,5,0,12,8
,50 to 64,249,0,236,0,5,8,0,0,2,2
,65 to 74,112,0,108,0,1,3,0,0,1,0
,75 and over,97,0,93,0,4,0,0,0,0,1
S01001361,All people,645,13,578,1,37,14,1,1,27,4
,0 to 15,87,13,69,0,3,2,0,0,2,0
,16 to 19,36,0,32,0,2,2,0,0,3,0
,20 to 24,47,0,36,0,9,2,0,0,5,0
,25 to 34,110,0,92,0,15,1,1,1,9,4
,35 to 49,151,0,141,1,3,6,0,0,3,0
,50 to 64,114,0,108,0,5,1,0,0,5,0
,65 to 74,60,0,60,0,0,0,0,0,0,0
,75 and over,40,0,40,0,0,0,0,0,0,0
S01001362,All people,547,1,502,0,28,9,4,3,23,1
,0 to 15,59,1,48,0,3,1,3,3,7,0
,16 to 19,23,0,19,0,3,1,0,0,0,0
,20 to 24,18,0,14,0,3,1,0,0,0,1
,25 to 34,36,0,29,0,4,2,1,0,5,0
,35 to 49,93,0,81,0,8,4,0,0,8,0
,50 to 64,171,0,165,0,6,0,0,0,3,0
,65 to 74,85,0,85,0,0,0,0,0,0,0
,75 and over,62,0,61,0,1,0,0,0,0,0
S01001363,All people,559,5,444,11,80,16,3,0,49,12
,0 to 15,54,5,36,3,8,2,0,0,2,1
,16 to 19,25,0,16,0,7,2,0,0,2,0
,20 to 24,37,0,13,3,17,3,1,0,12,2
,25 to 34,126,0,96,2,23,5,0,0,19,5
,35 to 49,141,0,119,0,17,4,1,0,10,2
,50 to 64,85,0,79,3,3,0,0,0,2,0
,65 to 74,42,0,41,0,1,0,0,0,0,2
,75 and over,49,0,44,0,4,0,1,0,2,0
S01001364,All people,850,6,763,9,52,16,3,1,88,16
,0 to 15,127,6,103,1,13,4,0,0,20,3
,16 to 19,42,0,36,1,5,0,0,0,7,0
,20 to 24,53,0,38,3,8,3,1,0,12,2
,25 to 34,76,0,64,1,5,4,1,1,18,5
,35 to 49,177,0,157,1,16,3,0,0,18,3
,50 to 64,206,0,200,1,2,2,1,0,7,1
,65 to 74,77,0,74,0,3,0,0,0,0,1
,75 and over,92,0,91,1,0,0,0,0,6,1
S01001365,All people,607,2,580,1,20,4,0,0,36,2
,0 to 15,97,2,91,0,3,1,0,0,12,0
,16 to 19,32,0,31,0,1,0,0,0,1,0
,20 to 24,31,0,29,0,2,0,0,0,1,2
,25 to 34,66,0,61,0,5,0,0,0,9,0
,35 to 49,156,0,147,1,5,3,0,0,8,0
,50 to 64,126,0,124,0,2,0,0,0,3,0
,65 to 74,63,0,61,0,2,0,0,0,1,0
,75 and over,36,0,36,0,0,0,0,0,1,0
S01001366,All people,900,6,858,2,27,5,1,1,33,12
,0 to 15,113,6,101,0,5,1,0,0,6,3
,16 to 19,40,0,39,0,1,0,0,0,3,0
,20 to 24,50,0,46,0,3,1,0,0,6,2
,25 to 34,50,0,45,0,4,0,0,1,6,1
,35 to 49,162,0,149,0,10,2,1,0,8,1
,50 to 64,218,0,217,0,0,1,0,0,1,4
,65 to 74,118,0,118,0,0,0,0,0,2,0
,75 and over,149,0,143,2,4,0,0,0,1,1
S01001367,All people,701,5,640,0,43,7,1,5,45,6
,0 to 15,90,5,67,0,16,2,0,0,3,1
,16 to 19,40,0,38,0,2,0,0,0,0,0
,20 to 24,44,0,40,0,2,2,0,0,6,1
,25 to 34,62,0,47,0,13,1,1,0,15,2
,35 to 49,145,0,138,0,6,1,0,0,9,2
,50 to 64,154,0,145,0,3,1,0,5,5,0
,65 to 74,83,0,83,0,0,0,0,0,3,0
,75 and over,83,0,82,0,1,0,0,0,4,0
S01001368,All people,"1,187",8,"1,050",5,64,36,1,23,54,34
,0 to 15,227,8,176,2,18,8,0,15,15,8
,16 to 19,56,0,56,0,0,0,0,0,5,4
,20 to 24,62,0,47,0,8,6,1,0,8,1
,25 to 34,95,0,70,0,11,13,0,1,8,8
,35 to 49,298,0,262,2,18,9,0,7,11,4
,50 to 64,287,0,283,1,3,0,0,0,4,6
,65 to 74,101,0,98,0,3,0,0,0,0,3
,75 and over,61,0,58,0,3,0,0,0,3,0
S01001369,All people,933,4,876,4,35,9,4,1,48,20
,0 to 15,137,4,121,1,10,1,0,0,10,7
,16 to 19,38,0,31,2,2,2,1,0,1,2
,20 to 24,46,0,36,0,6,2,1,1,9,1
,25 to 34,90,0,75,1,11,2,1,0,19,7
,35 to 49,206,0,201,0,4,1,0,0,4,2
,50 to 64,205,0,203,0,0,1,1,0,3,1
,65 to 74,102,0,102,0,0,0,0,0,1,0
,75 and over,109,0,107,0,2,0,0,0,1,0
S01001370,All people,830,6,751,0,58,15,0,0,53,28
,0 to 15,123,6,105,0,12,0,0,0,5,1
,16 to 19,44,0,43,0,1,0,0,0,1,2
,20 to 24,56,0,39,0,15,2,0,0,8,1
,25 to 34,113,0,95,0,12,6,0,0,11,15
,35 to 49,168,0,155,0,11,2,0,0,16,7
,50 to 64,192,0,182,0,6,4,0,0,10,2
,65 to 74,66,0,64,0,1,1,0,0,1,0
,75 and over,68,0,68,0,0,0,0,0,1,0
S01001371,All people,697,10,542,3,98,38,5,1,60,7
,0 to 15,77,10,56,0,5,5,1,0,12,0
,16 to 19,20,0,10,0,7,3,0,0,6,0
,20 to 24,58,0,30,0,20,7,0,1,10,3
,25 to 34,94,0,69,1,16,5,3,0,17,1
,35 to 49,123,0,107,1,8,6,1,0,9,2
,50 to 64,102,0,92,0,5,5,0,0,4,1
,65 to 74,73,0,64,0,7,2,0,0,1,0
,75 and over,150,0,114,1,30,5,0,0,1,0
S01001372,All people,685,5,653,0,22,5,0,0,6,11
,0 to 15,102,5,95,0,2,0,0,0,0,0
,16 to 19,30,0,29,0,1,0,0,0,0,0
,20 to 24,44,0,34,0,8,2,0,0,2,2
,25 to 34,53,0,46,0,7,0,0,0,1,3
,35 to 49,167,0,163,0,3,1,0,0,3,2
,50 to 64,181,0,178,0,1,2,0,0,0,3
,65 to 74,90,0,90,0,0,0,0,0,0,0
,75 and over,18,0,18,0,0,0,0,0,0,1
S01001373,All people,693,2,621,1,34,34,1,0,36,19
,0 to 15,74,2,63,0,5,4,0,0,2,0
,16 to 19,28,0,26,0,2,0,0,0,2,5
,20 to 24,37,0,30,0,3,4,0,0,6,3
,25 to 34,58,0,52,0,2,3,1,0,12,3
,35 to 49,152,0,132,1,8,11,0,0,6,5
,50 to 64,166,0,152,0,4,10,0,0,6,2
,65 to 74,76,0,71,0,3,2,0,0,2,1
,75 and over,102,0,95,0,7,0,0,0,0,0
S01001374,All people,514,4,491,1,16,2,0,0,13,6
,0 to 15,75,4,64,0,7,0,0,0,3,2
,16 to 19,25,0,25,0,0,0,0,0,1,0
,20 to 24,35,0,33,0,2,0,0,0,3,0
,25 to 34,25,0,23,0,2,0,0,0,1,0
,35 to 49,100,0,96,1,3,0,0,0,4,1
,50 to 64,133,0,129,0,2,2,0,0,0,3
,65 to 74,82,0,82,0,0,0,0,0,0,0
,75 and over,39,0,39,0,0,0,0,0,1,0
S01001375,All people,631,1,596,6,22,3,3,0,15,13
,0 to 15,87,1,77,2,5,0,2,0,1,0
,16 to 19,40,0,39,0,1,0,0,0,1,5
,20 to 24,34,0,30,0,3,1,0,0,2,2
,25 to 34,44,0,34,4,4,1,1,0,5,3
,35 to 49,124,0,119,0,4,1,0,0,2,2
,50 to 64,213,0,208,0,5,0,0,0,2,1
,65 to 74,58,0,58,0,0,0,0,0,0,0
,75 and over,31,0,31,0,0,0,0,0,2,0
S01001376,All people,772,4,637,1,84,25,6,15,83,31
,0 to 15,71,4,56,0,3,2,0,6,9,2
,16 to 19,34,0,30,0,4,0,0,0,5,1
,20 to 24,67,0,42,0,17,6,2,0,12,4
,25 to 34,148,0,108,0,24,11,1,4,18,13
,35 to 49,197,0,158,0,28,5,2,4,27,6
,50 to 64,137,0,129,1,5,0,1,1,7,4
,65 to 74,63,0,61,0,1,1,0,0,4,0
,75 and over,55,0,53,0,2,0,0,0,1,1
S01001377,All people,777,5,690,7,62,11,1,1,49,1
,0 to 15,128,5,107,2,10,4,0,0,8,0
,16 to 19,45,0,38,0,7,0,0,0,3,1
,20 to 24,44,0,34,0,8,2,0,0,8,0
,25 to 34,62,0,51,0,8,2,0,1,11,0
,35 to 49,169,0,155,0,10,3,1,0,13,0
,50 to 64,106,0,101,0,5,0,0,0,3,0
,65 to 74,130,0,118,4,8,0,0,0,0,0
,75 and over,93,0,86,1,6,0,0,0,3,0
S01001378,All people,622,4,583,0,23,8,0,4,29,21
,0 to 15,77,4,71,0,0,0,0,2,4,1
,16 to 19,29,0,29,0,0,0,0,0,1,1
,20 to 24,49,0,43,0,4,2,0,0,4,5
,25 to 34,63,0,51,0,8,3,0,1,8,8
,35 to 49,149,0,138,0,8,2,0,1,8,5
,50 to 64,139,0,136,0,2,1,0,0,1,1
,65 to 74,58,0,58,0,0,0,0,0,1,0
,75 and over,58,0,57,0,1,0,0,0,2,0
S01001379,All people,"1,026",7,956,10,32,12,2,7,45,27
,0 to 15,173,7,152,1,6,5,0,2,6,2
,16 to 19,47,0,45,0,2,0,0,0,1,14
,20 to 24,61,0,52,0,4,2,1,2,9,3
,25 to 34,122,0,101,4,12,2,0,3,13,5
,35 to 49,219,0,209,3,6,1,0,0,11,1
,50 to 64,212,0,207,2,2,0,1,0,2,1
,65 to 74,100,0,100,0,0,0,0,0,2,1
,75 and over,92,0,90,0,0,2,0,0,1,0
S01001380,All people,781,6,700,6,49,15,5,0,37,7
,0 to 15,92,6,76,0,6,2,2,0,3,1
,16 to 19,29,0,24,0,4,1,0,0,0,0
,20 to 24,47,0,34,2,8,2,1,0,5,1
,25 to 34,80,0,65,0,9,4,2,0,15,2
,35 to 49,163,0,141,0,16,6,0,0,7,3
,50 to 64,157,0,151,2,4,0,0,0,4,0
,65 to 74,111,0,109,2,0,0,0,0,2,0
,75 and over,102,0,100,0,2,0,0,0,1,0
S01001381,All people,825,6,765,1,40,5,2,6,24,7
,0 to 15,144,6,124,0,10,2,0,2,3,0
,16 to 19,35,0,29,0,4,0,0,2,0,0
,20 to 24,30,0,25,0,2,1,0,2,4,0
,25 to 34,84,0,74,0,9,1,0,0,2,4
,35 to 49,189,0,174,1,14,0,0,0,6,2
,50 to 64,137,0,134,0,0,1,2,0,6,0
,65 to 74,140,0,140,0,0,0,0,0,3,1
,75 and over,66,0,65,0,1,0,0,0,0,0
S01001382,All people,657,8,540,9,57,34,4,5,70,21
,0 to 15,45,8,30,0,3,4,0,0,9,1
,16 to 19,21,0,9,0,12,0,0,0,3,0
,20 to 24,62,0,36,2,12,11,0,1,7,2
,25 to 34,109,0,83,2,10,8,3,3,25,10
,35 to 49,93,0,77,0,10,5,1,0,10,3
,50 to 64,117,0,106,1,7,2,0,1,11,1
,65 to 74,75,0,71,1,1,2,0,0,3,2
,75 and over,135,0,128,3,2,2,0,0,2,2
S01001383,All people,565,1,531,1,14,12,3,3,24,17
,0 to 15,90,1,85,0,3,1,0,0,1,2
,16 to 19,34,0,32,0,1,1,0,0,2,0
,20 to 24,32,0,27,0,1,3,1,0,4,1
,25 to 34,66,0,57,0,5,3,0,1,5,9
,35 to 49,119,0,114,1,2,0,0,2,6,2
,50 to 64,103,0,98,0,2,2,1,0,3,3
,65 to 74,79,0,76,0,0,2,1,0,0,0
,75 and over,42,0,42,0,0,0,0,0,3,0
S01001384,All people,923,9,811,6,73,7,15,2,83,22
,0 to 15,179,9,138,0,21,2,9,0,21,10
,16 to 19,61,0,49,2,10,0,0,0,6,0
,20 to 24,66,0,54,1,8,1,1,1,8,3
,25 to 34,95,0,78,1,9,2,4,1,22,6
,35 to 49,209,0,185,2,21,1,0,0,14,3
,50 to 64,144,0,138,0,4,1,1,0,4,0
,65 to 74,123,0,123,0,0,0,0,0,2,0
,75 and over,46,0,46,0,0,0,0,0,6,0
S01001385,All people,776,11,679,3,55,20,7,1,53,4
,0 to 15,113,11,95,1,3,2,1,0,8,0
,16 to 19,19,0,19,0,0,0,0,0,0,0
,20 to 24,55,0,37,0,16,1,1,0,9,1
,25 to 34,138,0,103,1,22,8,4,0,16,1
,35 to 49,174,0,161,0,7,4,1,1,9,1
,50 to 64,121,0,110,1,6,4,0,0,5,0
,65 to 74,78,0,77,0,1,0,0,0,5,1
,75 and over,78,0,77,0,0,1,0,0,1,0
S01001386,All people,862,14,718,9,89,29,3,0,82,18
,0 to 15,115,14,80,1,14,3,3,0,18,0
,16 to 19,44,0,29,0,14,1,0,0,4,3
,20 to 24,73,0,51,2,11,9,0,0,7,2
,25 to 34,140,0,106,1,25,8,0,0,31,7
,35 to 49,226,0,199,3,18,6,0,0,15,3
,50 to 64,171,0,167,1,2,1,0,0,5,2
,65 to 74,68,0,62,1,4,1,0,0,1,1
,75 and over,25,0,24,0,1,0,0,0,1,0
S01001387,All people,909,17,796,6,66,18,3,3,36,7
,0 to 15,159,17,114,2,17,9,0,0,5,2
,16 to 19,52,0,47,0,5,0,0,0,5,0
,20 to 24,53,0,38,1,10,2,1,1,4,0
,25 to 34,87,0,58,0,20,7,0,2,6,2
,35 to 49,200,0,188,2,9,0,1,0,14,3
,50 to 64,156,0,152,1,3,0,0,0,0,0
,65 to 74,151,0,150,0,1,0,0,0,1,0
,75 and over,51,0,49,0,1,0,1,0,1,0
S01001388,All people,"1,430",25,"1,175",12,157,46,8,7,112,28
,0 to 15,381,25,304,6,40,5,0,1,31,6
,16 to 19,67,0,42,0,18,6,0,1,10,5
,20 to 24,115,0,81,2,23,5,4,0,15,2
,25 to 34,239,0,185,2,32,18,0,2,18,3
,35 to 49,323,0,276,2,30,10,2,3,23,7
,50 to 64,196,0,181,0,11,2,2,0,11,0
,65 to 74,67,0,65,0,2,0,0,0,1,4
,75 and over,42,0,41,0,1,0,0,0,3,1
S01001389,All people,484,3,456,0,19,6,0,0,26,5
,0 to 15,92,3,82,0,5,2,0,0,7,0
,16 to 19,24,0,22,0,2,0,0,0,3,1
,20 to 24,23,0,19,0,3,1,0,0,0,0
,25 to 34,59,0,53,0,4,2,0,0,5,2
,35 to 49,95,0,92,0,2,1,0,0,9,1
,50 to 64,109,0,106,0,3,0,0,0,1,0
,65 to 74,60,0,60,0,0,0,0,0,0,1
,75 and over,22,0,22,0,0,0,0,0,1,0
S01001390,All people,759,2,714,1,22,13,7,0,51,5
,0 to 15,138,2,130,0,4,1,1,0,5,0
,16 to 19,37,0,37,0,0,0,0,0,2,0
,20 to 24,49,0,42,0,4,3,0,0,12,2
,25 to 34,71,0,53,0,11,3,4,0,15,2
,35 to 49,188,0,182,0,2,4,0,0,8,0
,50 to 64,163,0,158,1,0,2,2,0,5,1
,65 to 74,78,0,78,0,0,0,0,0,4,0
,75 and over,35,0,34,0,1,0,0,0,0,0
S01001391,All people,722,11,645,8,45,9,3,1,72,16
,0 to 15,171,11,140,4,16,0,0,0,15,4
,16 to 19,39,0,36,1,0,2,0,0,11,1
,20 to 24,58,0,48,0,7,1,1,1,9,1
,25 to 34,97,0,82,1,10,4,0,0,14,6
,35 to 49,133,0,125,2,6,0,0,0,15,4
,50 to 64,159,0,150,0,5,2,2,0,6,0
,65 to 74,46,0,45,0,1,0,0,0,1,0
,75 and over,19,0,19,0,0,0,0,0,1,0
S01001392,All people,786,16,710,0,45,14,0,1,33,4
,0 to 15,223,16,191,0,11,5,0,0,6,0
,16 to 19,48,0,48,0,0,0,0,0,8,1
,20 to 24,63,0,51,0,9,3,0,0,5,0
,25 to 34,108,0,94,0,10,4,0,0,5,3
,35 to 49,166,0,153,0,11,2,0,0,6,0
,50 to 64,98,0,93,0,4,0,0,1,1,0
,65 to 74,48,0,48,0,0,0,0,0,0,0
,75 and over,32,0,32,0,0,0,0,0,2,0
S01001393,All people,522,4,478,0,28,7,3,2,29,9
,0 to 15,71,4,58,0,7,2,0,0,11,1
,16 to 19,25,0,23,0,2,0,0,0,0,1
,20 to 24,24,0,21,0,1,1,0,1,7,0
,25 to 34,54,0,42,0,7,3,1,1,6,6
,35 to 49,107,0,98,0,6,1,2,0,3,1
,50 to 64,126,0,124,0,2,0,0,0,0,0
,65 to 74,63,0,63,0,0,0,0,0,2,0
,75 and over,52,0,49,0,3,0,0,0,0,0
S01001394,All people,430,13,369,6,27,8,7,0,48,27
,0 to 15,94,13,72,0,5,3,1,0,11,9
,16 to 19,33,0,30,0,2,0,1,0,6,1
,20 to 24,40,0,32,1,7,0,0,0,11,6
,25 to 34,60,0,49,0,9,2,0,0,7,3
,35 to 49,100,0,85,4,4,3,4,0,10,3
,50 to 64,79,0,77,1,0,0,1,0,2,2
,65 to 74,15,0,15,0,0,0,0,0,1,1
,75 and over,9,0,9,0,0,0,0,0,0,2
S01001395,All people,928,9,842,1,47,22,4,3,66,20
,0 to 15,245,9,207,0,16,10,3,0,24,7
,16 to 19,66,0,59,0,5,1,1,0,4,4
,20 to 24,54,0,48,0,5,1,0,0,5,3
,25 to 34,104,0,89,1,7,7,0,0,19,2
,35 to 49,266,0,249,0,13,3,0,1,10,4
,50 to 64,128,0,126,0,0,0,0,2,2,0
,65 to 74,47,0,47,0,0,0,0,0,0,0
,75 and over,18,0,17,0,1,0,0,0,2,0
S01001396,All people,788,7,692,0,75,12,2,0,34,12
,0 to 15,166,7,134,0,25,0,0,0,11,4
,16 to 19,47,0,45,0,2,0,0,0,1,1
,20 to 24,39,0,31,0,5,3,0,0,3,2
,25 to 34,101,0,84,0,11,6,0,0,9,5
,35 to 49,182,0,168,0,10,2,2,0,7,0
,50 to 64,130,0,128,0,2,0,0,0,1,0
,65 to 74,32,0,29,0,3,0,0,0,1,0
,75 and over,91,0,73,0,17,1,0,0,1,0
S01001397,All people,781,9,701,4,49,9,6,3,70,15
,0 to 15,170,9,146,2,11,2,0,0,20,2
,16 to 19,56,0,46,1,9,0,0,0,11,3
,20 to 24,62,0,54,0,5,1,1,1,9,7
,25 to 34,91,0,75,1,11,2,1,1,12,1
,35 to 49,171,0,159,0,8,2,1,1,11,1
,50 to 64,170,0,160,0,5,2,3,0,5,0
,65 to 74,34,0,34,0,0,0,0,0,1,1
,75 and over,27,0,27,0,0,0,0,0,1,0
S01001398,All people,780,6,727,1,34,9,1,2,35,11
,0 to 15,108,6,90,1,9,2,0,0,9,2
,16 to 19,23,0,23,0,0,0,0,0,2,2
,20 to 24,52,0,48,0,4,0,0,0,3,1
,25 to 34,61,0,52,0,7,1,1,0,11,3
,35 to 49,138,0,126,0,7,3,0,2,5,2
,50 to 64,228,0,221,0,6,1,0,0,1,1
,65 to 74,91,0,88,0,1,2,0,0,0,0
,75 and over,79,0,79,0,0,0,0,0,4,0
S01001399,All people,858,11,760,5,47,21,11,3,95,12
,0 to 15,203,11,162,1,14,9,4,2,31,5
,16 to 19,55,0,44,1,5,2,2,1,8,0
,20 to 24,54,0,48,2,4,0,0,0,16,0
,25 to 34,119,0,101,1,12,3,2,0,19,5
,35 to 49,178,0,166,0,7,4,1,0,13,1
,50 to 64,149,0,140,0,4,3,2,0,7,1
,65 to 74,55,0,54,0,1,0,0,0,0,0
,75 and over,45,0,45,0,0,0,0,0,1,0
S01001400,All people,913,12,770,8,113,9,0,1,45,13
,0 to 15,180,12,125,0,39,4,0,0,10,3
,16 to 19,58,0,45,2,10,1,0,0,2,0
,20 to 24,58,0,47,1,9,1,0,0,4,2
,25 to 34,113,0,84,2,25,1,0,1,9,6
,35 to 49,199,0,182,2,14,1,0,0,7,1
,50 to 64,135,0,125,1,9,0,0,0,11,1
,65 to 74,64,0,63,0,1,0,0,0,1,0
,75 and over,106,0,99,0,6,1,0,0,1,0
S01001401,All people,656,13,578,5,52,3,2,3,39,1
,0 to 15,112,13,81,2,14,0,0,2,15,0
,16 to 19,45,0,40,0,5,0,0,0,3,0
,20 to 24,45,0,36,1,7,0,1,0,4,0
,25 to 34,77,0,64,1,11,0,1,0,9,0
,35 to 49,163,0,150,1,9,2,0,1,5,1
,50 to 64,127,0,120,0,6,1,0,0,1,0
,65 to 74,39,0,39,0,0,0,0,0,1,0
,75 and over,48,0,48,0,0,0,0,0,1,0
S01001402,All people,818,9,776,1,23,4,4,1,22,9
,0 to 15,115,9,96,0,8,0,2,0,4,0
,16 to 19,37,0,34,0,2,1,0,0,2,0
,20 to 24,50,0,46,0,1,2,0,1,2,2
,25 to 34,90,0,77,0,10,1,2,0,9,7
,35 to 49,172,0,169,1,2,0,0,0,3,0
,50 to 64,239,0,239,0,0,0,0,0,0,0
,65 to 74,88,0,88,0,0,0,0,0,1,0
,75 and over,27,0,27,0,0,0,0,0,1,0
S01001403,All people,"1,249",18,"1,170",0,38,15,8,0,71,35
,0 to 15,309,18,281,0,8,2,0,0,22,9
,16 to 19,80,0,77,0,1,0,2,0,2,4
,20 to 24,45,0,39,0,3,2,1,0,14,4
,25 to 34,131,0,103,0,16,9,3,0,6,5
,35 to 49,386,0,373,0,10,1,2,0,24,11
,50 to 64,226,0,225,0,0,1,0,0,1,2
,65 to 74,55,0,55,0,0,0,0,0,1,0
,75 and over,17,0,17,0,0,0,0,0,1,0
S01001404,All people,657,8,612,0,22,7,4,4,34,7
,0 to 15,163,8,148,0,6,1,0,0,12,0
,16 to 19,44,0,42,0,2,0,0,0,1,1
,20 to 24,33,0,25,0,4,1,1,2,2,0
,25 to 34,83,0,72,0,6,3,2,0,13,4
,35 to 49,199,0,193,0,4,0,1,1,5,2
,50 to 64,107,0,106,0,0,0,0,1,1,0
,65 to 74,18,0,16,0,0,2,0,0,0,0
,75 and over,10,0,10,0,0,0,0,0,0,0
S01001405,All people,"1,167",5,"1,093",1,47,20,0,1,41,27
,0 to 15,247,5,224,0,15,3,0,0,10,5
,16 to 19,59,0,56,0,2,1,0,0,4,1
,20 to 24,66,0,59,0,5,1,0,1,5,9
,25 to 34,106,0,89,0,9,8,0,0,9,7
,35 to 49,350,0,335,0,10,5,0,0,13,4
,50 to 64,246,0,239,1,4,2,0,0,0,1
,65 to 74,55,0,53,0,2,0,0,0,0,0
,75 and over,38,0,38,0,0,0,0,0,0,0
S01001406,All people,"2,581",45,"2,258",23,145,98,9,3,105,92
,0 to 15,639,45,530,8,38,17,1,0,25,20
,16 to 19,113,0,104,2,1,6,0,0,7,2
,20 to 24,120,0,92,2,13,12,0,1,8,9
,25 to 34,442,0,370,3,36,27,5,1,18,23
,35 to 49,751,0,680,8,39,23,0,1,32,25
,50 to 64,357,0,325,0,17,12,3,0,10,12
,65 to 74,104,0,103,0,1,0,0,0,1,1
,75 and over,55,0,54,0,0,1,0,0,4,0
S01001407,All people,788,6,722,4,36,18,1,1,35,18
,0 to 15,80,6,70,0,3,1,0,0,4,1
,16 to 19,27,0,24,1,1,0,0,1,0,0
,20 to 24,47,0,33,1,8,4,1,0,8,6
,25 to 34,67,0,58,0,7,2,0,0,4,4
,35 to 49,146,0,129,2,10,5,0,0,8,3
,50 to 64,220,0,213,0,5,2,0,0,6,4
,65 to 74,109,0,106,0,1,2,0,0,1,0
,75 and over,92,0,89,0,1,2,0,0,4,0
S01001408,All people,881,8,819,6,36,5,3,4,27,13
,0 to 15,151,8,137,0,5,1,0,0,10,1
,16 to 19,38,0,37,0,0,1,0,0,1,1
,20 to 24,50,0,43,0,4,1,0,2,5,3
,25 to 34,107,0,97,2,6,2,0,0,5,7
,35 to 49,188,0,176,2,9,0,0,1,5,0
,50 to 64,193,0,184,0,6,0,2,1,1,0
,65 to 74,86,0,82,1,3,0,0,0,0,1
,75 and over,68,0,63,1,3,0,1,0,0,0
S01001409,All people,898,6,835,9,32,12,0,4,48,16
,0 to 15,165,6,148,3,8,0,0,0,11,2
,16 to 19,47,0,41,0,2,3,0,1,0,1
,20 to 24,52,0,48,0,3,0,0,1,7,1
,25 to 34,80,0,70,3,7,0,0,0,14,3
,35 to 49,203,0,191,1,7,2,0,2,7,7
,50 to 64,213,0,204,0,4,5,0,0,6,2
,65 to 74,96,0,92,2,1,1,0,0,1,0
,75 and over,42,0,41,0,0,1,0,0,2,0
S01001410,All people,"1,038",2,952,5,25,42,7,5,20,18
,0 to 15,188,2,164,1,6,14,1,0,3,6
,16 to 19,53,0,51,0,0,2,0,0,0,3
,20 to 24,38,0,32,1,1,2,2,0,2,0
,25 to 34,61,0,51,1,3,4,1,1,6,1
,35 to 49,255,0,230,1,10,10,1,3,5,5
,50 to 64,222,0,208,1,2,10,0,1,1,2
,65 to 74,110,0,109,0,1,0,0,0,1,0
,75 and over,111,0,107,0,2,0,2,0,2,1
S01001411,All people,617,1,577,1,13,24,0,1,19,20
,0 to 15,92,1,80,0,5,6,0,0,0,0
,16 to 19,37,0,36,0,0,1,0,0,1,1
,20 to 24,36,0,33,0,2,1,0,0,3,4
,25 to 34,41,0,30,1,3,7,0,0,1,2
,35 to 49,161,0,152,0,1,7,0,1,4,7
,50 to 64,160,0,157,0,1,2,0,0,5,2
,65 to 74,59,0,59,0,0,0,0,0,2,3
,75 and over,31,0,30,0,1,0,0,0,3,1
S01001412,All people,896,13,809,15,53,4,2,0,39,11
,0 to 15,183,13,148,6,16,0,0,0,5,0
,16 to 19,44,0,39,1,4,0,0,0,3,0
,20 to 24,53,0,37,0,13,1,2,0,11,3
,25 to 34,113,0,104,3,6,0,0,0,4,3
,35 to 49,180,0,165,4,9,2,0,0,4,3
,50 to 64,150,0,144,1,4,1,0,0,8,2
,65 to 74,80,0,80,0,0,0,0,0,2,0
,75 and over,93,0,92,0,1,0,0,0,2,0
S01001413,All people,890,12,800,13,31,23,9,2,31,14
,0 to 15,184,12,161,5,4,1,1,0,6,0
,16 to 19,37,0,33,2,2,0,0,0,3,0
,20 to 24,44,0,40,0,4,0,0,0,8,11
,25 to 34,97,0,75,0,6,12,2,2,4,0
,35 to 49,245,0,227,5,6,5,2,0,7,2
,50 to 64,181,0,165,1,9,3,3,0,1,1
,65 to 74,59,0,58,0,0,0,1,0,2,0
,75 and over,43,0,41,0,0,2,0,0,0,0
S01001414,All people,642,10,584,2,33,11,1,1,39,14
,0 to 15,95,10,77,0,7,1,0,0,11,6
,16 to 19,30,0,27,0,2,1,0,0,3,1
,20 to 24,51,0,35,2,13,1,0,0,6,1
